created_at,suburb,time,status,location,area,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust
2024-01-03 12:57:46+00:00,Champion Lakes,20:57:00,ADVICE,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,18.9,32.0,0.0,NULL,11.3,E,59,21:48
2024-02-09 05:28:31+00:00,Coogee,13:28:00,WATCH AND ACT,"SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-09 07:08:59+00:00,Coogee,15:08:00,WATCH AND ACT,"SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-09 07:56:17+00:00,Coogee,15:56:00,WATCH AND ACT,"SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-09 09:10:28+00:00,Coogee,17:10:00,WATCH AND ACT,"SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-09 11:00:04+00:00,Coogee,19:00:00,WATCH AND ACT,"SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-09 11:58:46+00:00,Coogee,19:58:00,ADVICE,"SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-09 12:33:00+00:00,Coogee,20:32:00,ADVICE,"SPEARWOOD, MUNSTER and LAKE COOGEE",CITY OF COCKBURN,21.0,42.6,0.0,NULL,12.5,NE,44,9:21
2024-02-10 02:51:02+00:00,Coogee,10:51:00,ADVICE,SPEARWOOD and LAKE COOGEE,CITY OF COCKBURN,20.7,42.6,0.0,NULL,12.5,W,48,14:51
2024-02-10 03:22:34+00:00,Coogee,11:22:00,BURNT,SPEARWOOD and LAKE COOGEE,CITY OF COCKBURN,20.7,42.6,0.0,NULL,12.5,W,48,14:51
2024-01-01 06:10:11+00:00,Darling Downs,14:10:00,WATCH AND ACT,DARLING DOWNS,SHIRE OF SERPENTINE-JARRAHDALE,16.0,27.8,0.0,NULL,11.8,SW,48,14:15
2024-01-01 06:29:43+00:00,Darling Downs,14:29:00,WATCH AND ACT,DARLING DOWNS,SHIRE OF SERPENTINE-JARRAHDALE,16.0,27.8,0.0,NULL,11.8,SW,48,14:15
2024-01-01 06:34:06+00:00,Darling Downs,14:34:00,ADVICE,DARLING DOWNS,SHIRE OF SERPENTINE-JARRAHDALE,16.0,27.8,0.0,NULL,11.8,SW,48,14:15
2024-01-01 07:38:47+00:00,Darling Downs,15:38:00,ADVICE,DARLING DOWNS,SHIRE OF SERPENTINE-JARRAHDALE,16.0,27.8,0.0,NULL,11.8,SW,48,14:15
2024-01-01 11:53:38+00:00,Darling Downs,19:53:00,BURNT,DARLING DOWNS,SHIRE OF SERPENTINE-JARRAHDALE,16.0,27.8,0.0,NULL,11.8,SW,48,14:15
2024-01-05 03:00:23+00:00,East Rockingham,11:00:00,ADVICE,EAST ROCKINGHAM,CITY OF ROCKINGHAM,17.0,28.7,0.0,NULL,NULL,SSW,52.0,16:34
2024-01-05 07:36:31+00:00,East Rockingham,15:36:00,BURNT,EAST ROCKINGHAM,CITY OF ROCKINGHAM,17.0,28.7,0.0,NULL,NULL,SSW,52.0,16:34
2024-01-07 12:38:03+00:00,East Rockingham,20:38:00,ADVICE,EAST ROCKINGHAM,CITY OF ROCKINGHAM,19.2,30.9,0.0,NULL,NULL,SSW,43.0,17:25
2024-01-07 12:44:35+00:00,East Rockingham,20:44:00,ADVICE,EAST ROCKINGHAM,CITY OF ROCKINGHAM,19.2,30.9,0.0,NULL,NULL,SSW,43.0,17:25
2024-01-07 15:22:40+00:00,East Rockingham,23:22:00,BURNT,EAST ROCKINGHAM,CITY OF ROCKINGHAM,19.2,30.9,0.0,NULL,NULL,SSW,43.0,17:25
2024-01-04 22:50:30+00:00,East Rockingham,6:50:00,ADVICE,EAST ROCKINGHAM,CITY OF ROCKINGHAM,17.1,31.9,0.0,NULL,NULL,E,56.0,4:06
2024-02-23 01:50:43+00:00,Eglinton,9:50:00,BURNT,EGLINTON and YANCHEP,CITY OF WANNEROO,17.9,37.7,0.0,9.0,12.1,ENE,39,5:41
2024-02-22 02:42:13+00:00,Eglinton,10:42:00,ADVICE,EGLINTON and YANCHEP,CITY OF WANNEROO,17.4,32.2,0.0,8.6,12.1,ESE,35,23:12
2024-02-22 07:07:09+00:00,Eglinton,15:07:00,ADVICE,EGLINTON and YANCHEP,CITY OF WANNEROO,17.4,32.2,0.0,8.6,12.1,ESE,35,23:12
2024-02-21 22:24:34+00:00,Eglinton,6:24:00,ADVICE,EGLINTON and YANCHEP,CITY OF WANNEROO,19.2,28.2,0.0,9.6,9.7,SSW,33,16:52
2023-12-09 14:25:24+00:00,Ellenbrook,22:25:00,WATCH AND ACT,ELLENBROOK,CITY OF SWAN,13.8,28.8,0.0,10.2,13.0,ESE,39.0,14:40
2023-12-09 14:37:09+00:00,Ellenbrook,22:37:00,WATCH AND ACT,ELLENBROOK,CITY OF SWAN,13.8,28.8,0.0,10.2,13.0,ESE,39.0,14:40
2023-12-09 15:05:17+00:00,Ellenbrook,23:05:00,ADVICE,ELLENBROOK,CITY OF SWAN,13.8,28.8,0.0,10.2,13.0,ESE,39.0,14:40
2023-12-09 15:16:26+00:00,Ellenbrook,23:16:00,ADVICE,ELLENBROOK,CITY OF SWAN,13.8,28.8,0.0,10.2,13.0,ESE,39.0,14:40
2023-12-09 15:36:13+00:00,Ellenbrook,23:36:00,BURNT,ELLENBROOK,CITY OF SWAN,13.8,28.8,0.0,10.2,13.0,ESE,39.0,14:40
2024-01-04 02:09:41+00:00,Forrestdale,10:09:00,BURNT,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,16.4,31.6,0.0,NULL,13.1,ESE,56.0,1:04
2024-01-03 07:54:13+00:00,Forrestdale,15:54:00,WATCH AND ACT,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,8.9,32.0,0.0,NULL,11.3,E,59.0,21:48
2024-01-03 09:34:49+00:00,Forrestdale,17:34:00,ADVICE,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,8.9,32.0,0.0,NULL,11.3,E,59.0,21:48
2024-01-03 10:57:44+00:00,Forrestdale,18:57:00,ADVICE,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,8.9,32.0,0.0,NULL,11.3,E,59.0,21:48
2024-01-03 12:57:46+00:00,Forrestdale,20:57:00,ADVICE,"CHAMPION LAKES, SEVILLE GROVE and FORRESTDALE",CITY OF ARMADALE,8.9,32.0,0.0,NULL,11.3,E,59.0,21:48
2023-12-22 06:18:43+00:00,Gidgegannup,14:18:00,WATCH AND ACT,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
2023-12-22 06:43:46+00:00,Gidgegannup,14:43:00,EMERGENCY WARNING,"BAILUP, GIDGEGANNUP and WOOROLOO",CITY OF SWAN and the SHIRE OF MUNDARING,18.5,32.8,0.0,12.6,12.6,W,30,11:31
