Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
14/12/2023,14.7,31.5,0,10,13,SW,33,14:36,Stratton
15/12/2023,15.6,33.8,0,10.8,12.7,ENE,37,7:26,Stratton
04/02/2024,16.0,28.0,0,11.0,12.7,SW,39,16:28,Stratton
05/02/2024,14.9,28.9,0,10.0,12.7,ENE,31,8:12,Stratton
06/02/2024,15.9,33.1,0,8.8,12.6,ESE,35,11:59,Stratton
07/02/2024,18.7,37.0,0,10.6,12.6,E,37,1:55,Stratton
08/02/2024,18.5,40.9,0,11.8,12.7,SW,35,15:43,Stratton
09/02/2024,20.2,43.6,0,14.2,12.5,SW,35,16:06,Stratton
14/12/2023,14.7,31.5,0,10,13,SW,33,14:36,Middle Swan
15/12/2023,15.6,33.8,0,10.8,12.7,ENE,37,7:26,Middle Swan
05/02/2024,14.9,28.9,0,10.0,12.7,ENE,31,8:12,Middle Swan
06/02/2024,15.9,33.1,0,8.8,12.6,ESE,35,11:59,Middle Swan
07/02/2024,18.7,37.0,0,10.6,12.6,E,37,1:55,Middle Swan
08/02/2024,18.5,40.9,0,11.8,12.7,SW,35,15:43,Middle Swan
09/02/2024,20.2,43.6,0,14.2,12.5,SW,35,16:06,Middle Swan
14/12/2023,15.9,31.3,NULL,NULL,NULL,E,54,5:02,Midvale
05/02/2024,13.6,28.7,NULL,NULL,NULL,ESE,44,1:49,Midvale
06/02/2024,15.1,32.5,NULL,NULL,NULL,E,57,6:37,Midvale
07/02/2024,16.7,37.0,NULL,NULL,NULL,E,69,5:07,Midvale
08/02/2024,21.9,40.5,NULL,NULL,NULL,E,59,4:58,Midvale
09/02/2024,23.0,43.9,NULL,NULL,NULL,ESE,52,4:23,Midvale
15/12/2023,13.8,32.9,NULL,NULL,NULL,E,70,3:53,Kalamunda
12/18/2023,14.9,30.2,NULL,NULL,NULL,E,70,8:10,Kalamunda
12/24/2023,14.8,36.0,NULL,NULL,NULL,E,78,1:32,Kalamunda
02/08/2024,21.9,40.5,NULL,NULL,NULL,E,59,4:58,Kalamunda
12/19/2023,4.4,30.8,NULL,NULL,NULL,E,80,2:43,Kalamunda
12/18/2023,16.6,31.6,0,13.0,13.2,E,56,7:21,Kewdale
12/19/2023,16.3,32.8,0,12.0,12.3,E,63,4:01,Kewdale
12/18/2023,14.9,30.2,NULL,NULL,NULL,E,70,8:10,Wattle Grove
12/24/2023,14.8,36.0,NULL,NULL,NULL,E,78,1:32,Wattle Grove
12/19/2023,14.4,30.8,NULL,NULL,NULL,E,80,2:43,Wattle Grove
