Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
18/02/2024,23.4,42.9,0,10.4,6.2,ESE,30,3:56,Carine
21/02/2024,19.2,28.2,0,9.6,9.7,SSW,33,16:52,Eglinton
22/02/2024,17.4,32.2,0,8.6,12.1,ESE,35,23:12,Eglinton
23/02/2024,17.9,37.7,0,9,12.1,ENE,39,5:41,Eglinton
29/02/2024,16.3,36.9,0,7.8,12,ESE,37,23:37,Nowergup
28/02/2024,14.3,33.4,0,,,SSW,46,14:26,Nowergup
28/02/2024,15.2,33.4,0,,7.3,E,46,3:40,Neerabup
29/02/2024,17,37,0,,12,WSW,39,16:01,Neerabup
29/02/2024,17.1,37,0,7.8,12,SW,41,17:39,Karnup
29/02/2024,14.1,33.2,0,,,ENE,54,22:31,Baldivis
