Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
21/12/2023,23,35,0,,,ESE,56,0:16,Kwinana Town Centre
21/12/2023,23,35,0,,,ESE,56,0:16,Bertram
29/02/2024,17.8,24.9,0,,,S,59,19:31,Bertram
21/12/2023,23,35,0,,,ESE,56,0:16,Orelia
21/12/2023,23,35,0,,,ESE,56,0:16,Parmelia
22/12/2023,20,28,0,,,E,28,0:15,Kwinana Town Centre
23/12/2024,19.8,27.6,0,,,ESE,54,22:35,Kwinana Town Centre
24/12/2025,17.1,31.8,0,,,ESE,50,1:11,Kwinana Town Centre
25/12/2025,17.8,27.7,0,,,SSW,44,16:48,Kwinana Town Centre
26/12/2025,20.2,24,0,,,SSW,54,23:13,Kwinana Town Centre
27/12/2026,17.9,24.2,0,,,SE,57,23:13,Kwinana Town Centre
22/12/2023,18.5,32.8,0,12.6,12.6,W,30,11:31,Gidgegannup
23/12/2023,15.9,35.4,0,8.4,13.1,ESE,39,21:50,Gidgegannup
24/12/2023,16.6,36.2,0,12.8,12.4,SSE,52,1:33,Gidgegannup
25/12/2023,19.5,38.8,0,9.4,12,WSW,33,13:52,Gidgegannup
26/12/2023,20.2,28.6,0,10.6,9.5,SW,33,15:22,Gidgegannup
27/12/2023,16.9,28.2,0,8.4,12.7,SSW,37,14:04,Gidgegannup
28/12/2023,18,30.5,0,9.2,11.4,ESE,59,22:57,Gidgegannup
29/12/2023,17.7,33,0,10.2,11,ESE,56,2:49,Gidgegannup
22/12/2023,18.5,32.8,0,12.6,12.6,W,30,11:31,Wooroloo
23/12/2023,15.9,35.4,0,8.4,13.1,ESE,39,21:50,Wooroloo
24/12/2023,16.6,36.2,0,12.8,12.4,SSE,52,1:33,Wooroloo
25/12/2023,19.5,38.8,0,9.4,12,WSW,33,13:52,Wooroloo
26/12/2023,20.2,28.6,0,10.6,9.5,SW,33,15:22,Wooroloo
27/12/2023,16.9,28.2,0,8.4,12.7,SSW,37,14:04,Wooroloo
28/12/2023,18,30.5,0,9.2,11.4,ESE,59,22:57,Wooroloo
29/12/2023,17.7,33,0,10.2,11,ESE,56,2:49,Wooroloo
