Date,Minimum Temperature,Maximum Temperature,Rainfall,Evaporation,Sunshine,Direction Max Wind Gust,Speed Max Wind Gust,Time Max Wind Gust,Suburb
13/2/2024,24.5,43,3,,,E,44,3:04,Pinjar
14/2/2024,19.6,41,0,,,ENE,52,11:58,Pinjar
15/2/2024,21.3,38.1,0,,,WSW,43,13:19,Pinjar
22/2/2024,14.8,30.4,0,,,WSW,48,14:25,Pinjar
23/2/2024,15.3,30,0,,,WSW,48,14:27,Pinjar
28/2/2024,13.2,28.4,0,,,SSW,52,14:59,Pinjar
13/01/2024,23.6,40.4,1.4,,11.3,ENE,44,0:43,Success
13/01/2024,23.6,40.4,1.4,,11.3,ENE,44,0:43,Beeliar
04/02/2024,14.4,28,,,,S,57,16:08,Swan View
05/02/2024,13.6,28.7,,,,ESE,44,1:49,Swan View
7/2/2024,19.3,33.7,0,,,S,44,19:40,Casuarina
8/2/2024,18.1,36.5,0,,,S,39,19:00,Casuarina
9/2/2024,20.6,41.3,0,,,S,31,16:25,Casuarina
8/2/2024,17.4,39.9,0,11.8,12.7,S,35,16:04,Stirling
9/2/2024,19.9,42,0,14.2,12.5,SW,33,15:34,Stirling
18/2/2024,23.4,42.9,0,10.4,6.2,ENE,30,3:56,Stirling
19/2/2024,27.5,42.3,0,13.6,5.5,NE,35,10:57,Stirling
23/01/2024,14,30,0,9.4,13,SW,44,14:57,Lexia
24/011/2024,15.6,31.9,0,8.6,12.9,SW,44,14:29,Lexia
